Device Name,Model,SSID,Agent Version,Serial Number,OS Version,Group Path,OS Build Number,Application Package,Application Name,Application Version 
UK-BOS-XT3-0606,XT3,LNVisitor,28.59,2111310353,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0607,XT3,LNVisitor,28.59,2111610034,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0608,XT3,TMEVENTS,28.59,2111610075,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0608,XT3,TMEVENTS,28.59,2111610075,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0609,XT3,TMEVENTS,28.59,2205310014,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0609,XT3,TMEVENTS,28.59,2205310014,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0610,XT3,TMEVENTS,28.59,2205310042,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0612,XT3,TMEVENTS,28.59,2205510102,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0613,XT3,TMEVENTS,28.59,2204910557,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0613,XT3,TMEVENTS,28.59,2204910557,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0615,XT3,TMEVENTS,28.59,2205510473,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0616,XT3,TMEVENTS,28.59,2204910548,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0616,XT3,TMEVENTS,28.59,2204910548,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.5-enterprise (310030705)
UK-BOS-XT3-0617,XT3,TMEVENTS,28.59,2307510152,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0618,XT3,TMEVENTS,28.57,2307510132,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0618,XT3,TMEVENTS,28.57,2307510132,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
UK-BOS-XT3-0620,XT3,TMEVENTS,28.57,2307510124,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
